completion_year,monthly_rent_rm,property_type,parking,bathroom,size_sqft,furnished,area,rooms_num,nearby_railways
2021.0,1700,Condominium,0.0,1.0,700,Partially Furnished,Sentul,2.0,yes
2022.0,2100,Service Residence,2.0,2.0,1000,Partially Furnished,Setapak,3.0,yes
2015.0,1550,Condominium,1.0,2.0,1142,Partially Furnished,Cheras,4.0,no
2006.0,1400,Condominium,2.0,2.0,1300,Partially Furnished,Setapak,4.0,no
2020.0,1300,Service Residence,1.0,2.0,819,Partially Furnished,Sentul,3.0,no
2021.0,2500,Service Residence,1.0,2.0,850,Fully Furnished,Sentul,3.0,yes
2022.0,2300,Service Residence,2.0,2.0,1000,Partially Furnished,Setapak,3.0,yes
2021.0,1350,Service Residence,1.0,1.0,650,Partially Furnished,Cheras,2.0,yes
2020.0,1100,Apartment,2.0,2.0,800,Partially Furnished,Kepong,3.0,yes
2015.0,1700,Condominium,2.0,2.0,1300,Partially Furnished,Sentul,3.0,no
2021.0,1650,Service Residence,2.0,2.0,850,Partially Furnished,Sentul,3.0,no
2021.0,1200,Service Residence,1.0,1.0,646,Not Furnished,Sentul,2.0,
1988.0,1200,Condominium,1.0,2.0,1000,Partially Furnished,Pantai,2.0,yes
2014.0,2599,Condominium,3.0,5.0,1899,Fully Furnished,Sri Petaling,4.0,yes
2015.0,1200,Service Residence,1.0,1.0,521,Partially Furnished,Wangsa Maju,1.0,no
2018.0,2500,Service Residence,1.0,1.0,468,Fully Furnished,Brickfields,1.0,yes
2019.0,2200,Condominium,2.0,2.0,1100,Fully Furnished,Kepong,3.0,yes
2015.0,1500,Condominium,1.0,2.0,1142,Partially Furnished,Cheras,4.0,yes
2017.0,1900,Condominium,2.0,2.0,1193,Partially Furnished,Jalan Ipoh,3.0,no
2018.0,2100,Service Residence,2.0,2.0,1200,Fully Furnished,Ampang,3.0,no
2021.0,1450,Condominium,1.0,2.0,1100,Partially Furnished,Kuchai Lama,3.0,
2012.0,1600,Condominium,1.0,2.0,1070,Partially Furnished,Kepong,3.0,yes
2021.0,2200,Service Residence,0.0,2.0,850,Fully Furnished,Sentul,3.0,yes
2012.0,2000,Service Residence,1.0,1.0,560,Fully Furnished,Jalan Sultan Ismail,1.0,
2021.0,2200,Apartment,1.0,2.0,866,Fully Furnished,Kepong,2.0,no
2020.0,3300,Apartment,1.0,2.0,950,Fully Furnished,KL City,3.0,no
2015.0,2000,Service Residence,0.0,1.0,600,Fully Furnished,KL City,1.0,no
1998.0,2500,Condominium,0.0,2.0,1000,Fully Furnished,Bangsar,3.0,yes
1998.0,1500,Condominium,1.0,2.0,1000,Fully Furnished,Cheras,3.0,yes
2021.0,2500,Service Residence,1.0,2.0,850,Partially Furnished,Sentul,3.0,no
2010.0,1500,Condominium,2.0,2.0,1062,Partially Furnished,Jalan Ipoh,3.0,
2023.0,1800,Condominium,0.0,2.0,850,Partially Furnished,Cheras,3.0,yes
1990.0,850,Apartment,1.0,2.0,850,Not Furnished,Kepong,3.0,no
2018.0,3700,Condominium,2.0,2.0,1325,Fully Furnished,Bukit Jalil,3.0,
2007.0,999,Condominium,1.0,2.0,962,Not Furnished,Kepong,3.0,
2022.0,2100,Condominium,2.0,2.0,925,Fully Furnished,Taman Desa,3.0,yes
1998.0,4500,Condominium,0.0,3.0,1690,Fully Furnished,Mont Kiara,4.0,no
2017.0,1550,Service Residence,1.0,1.0,570,Fully Furnished,Desa Pandan,1.0,no
2021.0,2300,Service Residence,0.0,2.0,1050,Fully Furnished,Cheras,3.0,yes
2017.0,1500,Service Residence,0.0,2.0,900,Partially Furnished,Old Klang Road,3.0,yes
2022.0,2499,Service Residence,3.0,2.0,1100,Partially Furnished,Setapak,4.0,yes
2004.0,4000,Condominium,0.0,4.0,2200,Fully Furnished,Bukit Bintang,4.0,no
2021.0,1100,Service Residence,0.0,2.0,650,Partially Furnished,Cheras,2.0,
2021.0,1750,Service Residence,1.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2017.0,1800,Service Residence,1.0,2.0,762,Partially Furnished,Cheras,1.0,
2014.0,2200,Condominium,1.0,1.0,638,Fully Furnished,Bangsar South,1.0,
2015.0,1700,Condominium,1.0,2.0,1072,Partially Furnished,Pandan Jaya,3.0,yes
2006.0,1948,Service Residence,1.0,2.0,990,Fully Furnished,Damansara Heights,2.0,yes
2021.0,1300,Apartment,1.0,2.0,850,Partially Furnished,Bukit Jalil,3.0,no
2023.0,2200,Condominium,2.0,2.0,850,Fully Furnished,Cheras,3.0,yes
2015.0,1600,Service Residence,2.0,2.0,1020,Partially Furnished,Bandar Damai Perdana,3.0,no
2021.0,1400,Service Residence,0.0,2.0,850,Not Furnished,Cheras,3.0,yes
2007.0,1800,Condominium,0.0,2.0,1066,Fully Furnished,Setapak,3.0,yes
2016.0,1400,Studio,1.0,1.0,450,Fully Furnished,Cheras,1.0,yes
2023.0,1800,Condominium,0.0,2.0,850,Partially Furnished,Cheras,3.0,yes
2022.0,550,Service Residence,0.0,3.0,1300,Partially Furnished,Setapak,4.0,yes
2004.0,1500,Condominium,1.0,2.0,1100,Partially Furnished,Jalan Kuching,3.0,no
2004.0,1600,Condominium,1.0,2.0,1100,Fully Furnished,Jalan Kuching,3.0,no
2006.0,1400,Apartment,1.0,2.0,650,Partially Furnished,Sentul,3.0,yes
2021.0,1800,Condominium,1.0,2.0,1200,Fully Furnished,Kuchai Lama,3.0,yes
2021.0,1100,Service Residence,0.0,2.0,650,Not Furnished,Cheras,2.0,yes
2021.0,1488,Service Residence,1.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2018.0,2200,Apartment,1.0,2.0,829,Fully Furnished,Setapak,3.0,
2004.0,1500,Condominium,2.0,2.0,1100,Fully Furnished,Jalan Kuching,3.0,no
2003.0,1200,Condominium,1.0,2.0,931,Partially Furnished,Setapak,3.0,no
2000.0,1600,Condominium,0.0,2.0,1421,Partially Furnished,Sri Petaling,4.0,yes
2007.0,1800,Condominium,0.0,2.0,1076,Fully Furnished,Setapak,3.0,yes
2015.0,1600,Condominium,1.0,2.0,1142,Partially Furnished,Cheras,4.0,yes
2021.0,3200,Service Residence,1.0,2.0,750,Fully Furnished,Bukit Jalil,2.0,no
2008.0,1600,Condominium,1.0,2.0,1328,Not Furnished,Setapak,4.0,
2017.0,1700,Service Residence,1.0,2.0,900,Fully Furnished,Setapak,3.0,
2007.0,1800,Condominium,1.0,2.0,1067,Fully Furnished,Setapak,3.0,
2021.0,1300,Service Residence,1.0,2.0,650,Partially Furnished,Cheras,2.0,yes
1995.0,1100,Condominium,1.0,2.0,820,Partially Furnished,Setapak,3.0,no
2013.0,2000,Condominium,1.0,2.0,1018,Fully Furnished,Jalan Kuching,3.0,no
2013.0,1700,Service Residence,1.0,1.0,726,Partially Furnished,Titiwangsa,2.0,yes
2021.0,2500,Service Residence,0.0,2.0,850,Fully Furnished,Sentul,3.0,yes
2019.0,1700,Apartment,0.0,1.0,450,Fully Furnished,Pandan Perdana,1.0,no
2012.0,2100,Service Residence,0.0,1.0,560,Fully Furnished,Jalan Sultan Ismail,1.0,no
2014.0,1400,Condominium,2.0,2.0,865,Fully Furnished,Cheras,3.0,no
2020.0,1400,Service Residence,2.0,2.0,932,Partially Furnished,Kepong,3.0,yes
2017.0,1350,Service Residence,1.0,2.0,1095,Not Furnished,Sentul,3.0,yes
2007.0,1880,Service Residence,1.0,2.0,1290,Partially Furnished,Jalan Kuching,3.0,no
2017.0,1800,Condominium,2.0,3.0,1298,Partially Furnished,Segambut,3.0,
2016.0,2000,Condominium,2.0,3.0,1492,Partially Furnished,Sri Damansara,4.0,
2016.0,2800,Condominium,2.0,3.0,1610,Fully Furnished,Sri Damansara,3.0,
2015.0,1800,Condominium,0.0,2.0,1142,Partially Furnished,Cheras,4.0,no
1999.0,1200,Condominium,2.0,2.0,975,Partially Furnished,Cheras,3.0,yes
2021.0,1400,Service Residence,2.0,2.0,650,Not Furnished,Cheras,2.0,yes
2022.0,3300,Condominium,2.0,3.0,1118,Fully Furnished,Taman Desa,4.0,yes
2012.0,2600,Service Residence,1.0,1.0,805,Fully Furnished,Jalan Sultan Ismail,2.0,yes
2011.0,1400,Duplex,1.0,1.0,775,Partially Furnished,Old Klang Road,1.0,yes
2010.0,1700,Condominium,1.0,2.0,1300,Partially Furnished,Jalan Ipoh,3.0,yes
2022.0,1800,Service Residence,1.0,2.0,804,Fully Furnished,Kuchai Lama,2.0,
2021.0,2800,Service Residence,2.0,2.0,1033,Fully Furnished,Segambut,3.0,no
2008.0,3800,Condominium,0.0,2.0,1400,Fully Furnished,Ampang,2.0,
2007.0,2000,Service Residence,0.0,2.0,900,Fully Furnished,Bukit Bintang,2.0,
2018.0,1200,Apartment,1.0,2.0,1035,Partially Furnished,Sungai Besi,3.0,yes
2004.0,1500,Condominium,0.0,2.0,1050,Partially Furnished,Jalan Kuching,3.0,no
2023.0,2300,Condominium,2.0,3.0,1000,Partially Furnished,Cheras,4.0,yes
1999.0,1400,Condominium,1.0,2.0,920,Partially Furnished,Cheras,3.0,
2006.0,1750,Apartment,1.0,2.0,1010,Fully Furnished,Sentul,3.0,yes
2020.0,1700,Apartment,1.0,2.0,819,Fully Furnished,Sentul,3.0,yes
2017.0,1350,Service Residence,1.0,2.0,1150,Partially Furnished,Sentul,3.0,no
2013.0,1800,Condominium,1.0,2.0,880,Fully Furnished,Jalan Kuching,2.0,no
2022.0,1800,Service Residence,1.0,2.0,850,Partially Furnished,Setapak,3.0,yes
2018.0,1500,Service Residence,1.0,1.0,680,Fully Furnished,Ampang,1.0,yes
2021.0,1250,Apartment,0.0,2.0,850,Partially Furnished,Bukit Jalil,3.0,
2021.0,2800,Service Residence,0.0,2.0,850,Fully Furnished,Sentul,3.0,
2021.0,2500,Service Residence,0.0,2.0,850,Fully Furnished,Sentul,3.0,
2017.0,1850,Service Residence,1.0,2.0,1050,Fully Furnished,Cheras,3.0,yes
2021.0,3500,Service Residence,0.0,1.0,750,Fully Furnished,Bukit Jalil,2.0,
2019.0,1499,Apartment,2.0,2.0,928,Partially Furnished,Setapak,3.0,yes
2006.0,1500,Apartment,1.0,2.0,1100,Partially Furnished,Sentul,3.0,yes
2015.0,1600,Condominium,1.0,2.0,1142,Partially Furnished,Cheras,3.0,no
2023.0,2600,Condominium,2.0,2.0,850,Fully Furnished,Cheras,3.0,yes
2017.0,1700,Condominium,2.0,2.0,1200,Partially Furnished,Setapak,3.0,
2016.0,4800,Condominium,1.0,4.0,1717,Fully Furnished,KLCC,3.0,yes
2014.0,1799,Condominium,2.0,3.0,1362,Partially Furnished,Setapak,4.0,
2021.0,1000,Service Residence,0.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2019.0,4600,Condominium,2.0,2.0,1548,Fully Furnished,Mont Kiara,3.0,no
2023.0,2300,Condominium,3.0,2.0,850,Fully Furnished,Cheras,3.0,yes
2007.0,1250,Apartment,0.0,2.0,1043,Partially Furnished,Kuchai Lama,3.0,no
2007.0,1800,Condominium,1.0,2.0,1125,Fully Furnished,Setapak,3.0,yes
2017.0,3500,Service Residence,1.0,2.0,1121,Fully Furnished,Cheras,2.0,yes
2006.0,1700,Apartment,1.0,2.0,1065,Fully Furnished,Sentul,3.0,yes
2021.0,2500,Service Residence,1.0,2.0,850,Fully Furnished,Sentul,3.0,no
2021.0,2400,Service Residence,2.0,2.0,1001,Partially Furnished,Sentul,4.0,no
2022.0,1800,Condominium,2.0,2.0,1000,Fully Furnished,Setapak,3.0,yes
2000.0,1300,Condominium,0.0,2.0,837,Fully Furnished,Bukit Jalil,2.0,yes
2014.0,1800,Condominium,1.0,2.0,1100,Fully Furnished,Sentul,3.0,no
2017.0,2200,Condominium,1.0,1.0,700,Fully Furnished,Setapak,1.0,
2021.0,2000,Apartment,2.0,2.0,950,Fully Furnished,Setapak,4.0,no
2021.0,999,Service Residence,0.0,2.0,650,Partially Furnished,Cheras,2.0,yes
2015.0,800,Apartment,0.0,2.0,700,Partially Furnished,Kepong,3.0,no
2021.0,1900,Condominium,2.0,2.0,950,Partially Furnished,Setapak,4.0,
2018.0,1300,Condominium,1.0,2.0,1000,Fully Furnished,Kepong,4.0,
2007.0,1800,Condominium,1.0,2.0,1076,Fully Furnished,Setapak,3.0,no
2019.0,1900,Apartment,1.0,2.0,678,Fully Furnished,Pandan Perdana,2.0,yes
2017.0,3400,Condominium,3.0,3.0,1186,Fully Furnished,Sentul,3.0,
2013.0,650,Condominium,2.0,2.0,1200,Fully Furnished,Setapak,4.0,yes
2021.0,1600,Service Residence,0.0,2.0,670,Partially Furnished,Cheras,2.0,no
2019.0,1900,Condominium,2.0,2.0,1216,Partially Furnished,Sungai Besi,3.0,no
2000.0,1050,Apartment,0.0,2.0,878,Partially Furnished,Bukit Jalil,3.0,yes
2015.0,2400,Condominium,1.0,2.0,1060,Fully Furnished,Ampang,3.0,no
2023.0,1800,Condominium,2.0,2.0,850,Partially Furnished,Cheras,3.0,yes
2018.0,2000,Condominium,2.0,3.0,1325,Partially Furnished,Bukit Jalil,3.0,no
2006.0,1750,Apartment,1.0,2.0,1065,Fully Furnished,Sentul,3.0,
2004.0,645,Apartment,0.0,2.0,850,Fully Furnished,Kepong,3.0,yes
2021.0,1250,Apartment,0.0,2.0,850,Partially Furnished,Bukit Jalil,3.0,no
2019.0,1700,Apartment,2.0,2.0,928,Partially Furnished,Setapak,3.0,yes
2018.0,3000,Service Residence,1.0,2.0,1376,Fully Furnished,Taman Melawati,3.0,
2022.0,2200,Service Residence,0.0,1.0,636,Fully Furnished,Mont Kiara,1.0,yes
2007.0,1800,Service Residence,1.0,2.0,1300,Partially Furnished,Jalan Kuching,3.0,no
1994.0,3500,Condominium,0.0,2.0,1280,Fully Furnished,Mont Kiara,3.0,no
2018.0,1600,Service Residence,1.0,2.0,589,Fully Furnished,Ampang,2.0,no
2018.0,2500,Service Residence,1.0,2.0,890,Fully Furnished,Ampang,4.0,no
2012.0,1500,Condominium,1.0,2.0,1000,Partially Furnished,Kepong,3.0,no
2018.0,1600,Service Residence,1.0,2.0,904,Partially Furnished,Jalan Ipoh,2.0,
2020.0,1100,Apartment,1.0,2.0,800,Partially Furnished,Kepong,3.0,yes
2020.0,1100,Apartment,1.0,2.0,800,Partially Furnished,Kepong,3.0,yes
2020.0,1400,Apartment,1.0,2.0,800,Partially Furnished,Kepong,3.0,yes
2010.0,2350,Studio,1.0,2.0,870,Fully Furnished,Pantai,1.0,yes
2015.0,1600,Service Residence,1.0,1.0,520,Fully Furnished,Ampang,1.0,yes
1999.0,1350,Condominium,1.0,2.0,920,Partially Furnished,Cheras,3.0,
2019.0,2000,Condominium,3.0,2.0,1050,Partially Furnished,Keramat,3.0,yes
2019.0,2250,Condominium,2.0,2.0,1050,Fully Furnished,Keramat,3.0,yes
2019.0,3500,Condominium,2.0,2.0,1400,Fully Furnished,Desa Petaling,3.0,yes
1995.0,1500,Condominium,1.0,2.0,1141,Fully Furnished,Sri Petaling,3.0,yes
2020.0,1100,Apartment,1.0,2.0,932,Partially Furnished,Kepong,3.0,
2019.0,1700,Service Residence,2.0,2.0,958,Not Furnished,Kepong,3.0,
2021.0,1650,Service Residence,0.0,2.0,695,Fully Furnished,KL City,2.0,yes
2009.0,1800,Condominium,1.0,2.0,1000,Fully Furnished,Solaris Dutamas,3.0,no
1996.0,1400,Condominium,1.0,2.0,1100,Not Furnished,Cheras,3.0,
2020.0,1300,Apartment,1.0,2.0,810,Not Furnished,Pantai,3.0,
2020.0,1900,Service Residence,1.0,2.0,743,Fully Furnished,Sentul,2.0,yes
2017.0,1700,Service Residence,2.0,2.0,1009,Partially Furnished,Sentul,3.0,no
2006.0,1600,Apartment,0.0,2.0,1065,Fully Furnished,Sentul,3.0,yes
2016.0,2700,Service Residence,2.0,2.0,1096,Fully Furnished,Puchong,3.0,yes
2022.0,1700,Service Residence,0.0,2.0,900,Partially Furnished,Sri Petaling,3.0,yes
2005.0,1400,Condominium,1.0,2.0,1150,Partially Furnished,Wangsa Maju,3.0,
2018.0,3000,Service Residence,0.0,2.0,1376,Fully Furnished,Taman Melawati,3.0,
2022.0,2200,Condominium,2.0,2.0,1000,Partially Furnished,Setapak,3.0,yes
2022.0,2800,Condominium,3.0,2.0,1100,Partially Furnished,Setapak,4.0,yes
2022.0,2100,Condominium,2.0,2.0,1000,Partially Furnished,Setapak,3.0,yes
2021.0,1800,Condominium,1.0,2.0,1200,Fully Furnished,Kuchai Lama,3.0,no
2017.0,1000,Service Residence,0.0,1.0,750,Partially Furnished,Cheras,1.0,no
2017.0,1800,Service Residence,1.0,2.0,953,Partially Furnished,Old Klang Road,3.0,no
2021.0,1800,Condominium,1.0,2.0,1200,Fully Furnished,Kuchai Lama,3.0,no
2018.0,1500,Studio,1.0,1.0,505,Fully Furnished,Seputeh,1.0,no
2021.0,1300,Apartment,1.0,2.0,850,Partially Furnished,Bukit Jalil,3.0,
2017.0,2500,Condominium,2.0,3.0,1433,Partially Furnished,Setapak,3.0,yes
2021.0,1800,Apartment,0.0,2.0,978,Partially Furnished,Kepong,3.0,yes
2021.0,600,Condominium,2.0,2.0,850,Fully Furnished,Cheras,3.0,no
2009.0,1500,Condominium,1.0,2.0,1100,Partially Furnished,Setapak,3.0,
2008.0,3800,Condominium,0.0,2.0,1500,Fully Furnished,KL Sentral,3.0,yes
2015.0,3000,Condominium,2.0,2.0,1170,Fully Furnished,Bukit Jalil,3.0,no
2005.0,1400,Condominium,1.0,2.0,950,Fully Furnished,Cheras,3.0,no
2016.0,1450,Service Residence,1.0,2.0,923,Partially Furnished,Setapak,3.0,no
2017.0,1999,Service Residence,1.0,1.0,648,Partially Furnished,Bangsar South,2.0,yes
2021.0,2200,Condominium,1.0,1.0,499,Fully Furnished,Sri Damansara,1.0,
2005.0,1700,Condominium,1.0,2.0,1150,Partially Furnished,Wangsa Maju,3.0,yes
2021.0,2200,Condominium,1.0,1.0,499,Fully Furnished,Sri Damansara,1.0,
2021.0,1500,Service Residence,1.0,2.0,650,Fully Furnished,Cheras,2.0,yes
2017.0,1400,Service Residence,2.0,2.0,1009,Partially Furnished,Sentul,3.0,no
2019.0,1800,Apartment,1.0,2.0,930,Partially Furnished,Setapak,3.0,no
2012.0,1650,Service Residence,1.0,1.0,500,Fully Furnished,Sri Hartamas,1.0,
2016.0,1180,Service Residence,1.0,2.0,558,Partially Furnished,Setapak,2.0,no
2007.0,2550,Condominium,1.0,2.0,1050,Fully Furnished,Mont Kiara,3.0,
2002.0,1200,Apartment,0.0,2.0,740,Partially Furnished,Cheras,3.0,yes
2021.0,2200,Condominium,1.0,1.0,499,Fully Furnished,Sri Damansara,1.0,
2012.0,2000,Service Residence,1.0,1.0,800,Fully Furnished,Jalan Sultan Ismail,1.0,yes
2017.0,2600,Condominium,2.0,2.0,1359,Fully Furnished,Jalan Ipoh,3.0,
2018.0,1200,Condominium,1.0,2.0,1100,Partially Furnished,Kepong,4.0,no
2021.0,1300,Service Residence,1.0,2.0,650,Partially Furnished,Cheras,2.0,no
2021.0,1700,Condominium,1.0,2.0,1200,Fully Furnished,Kuchai Lama,3.0,yes
2017.0,2450,Service Residence,1.0,2.0,780,Fully Furnished,Old Klang Road,2.0,no
2006.0,1600,Condominium,1.0,2.0,1272,Fully Furnished,Setapak,4.0,yes
2018.0,1600,Service Residence,1.0,1.0,609,Partially Furnished,Sentul,1.0,yes
2022.0,3300,Service Residence,1.0,2.0,958,Partially Furnished,Mont Kiara,2.0,
1993.0,2150,Condominium,2.0,2.0,1400,Partially Furnished,Bangsar,2.0,
2021.0,2500,Service Residence,0.0,2.0,850,Fully Furnished,Sentul,3.0,
2016.0,1500,Service Residence,2.0,2.0,1130,Partially Furnished,Sungai Besi,3.0,no
2021.0,1500,Condominium,1.0,3.0,850,Partially Furnished,Kuchai Lama,3.0,yes
2020.0,2450,Condominium,2.0,2.0,1000,Fully Furnished,Wangsa Maju,4.0,
2018.0,1550,Service Residence,1.0,1.0,679,Fully Furnished,Ampang,1.0,no
2011.0,3600,Condominium,2.0,3.0,1259,Fully Furnished,KLCC,3.0,yes
1997.0,1700,Service Residence,1.0,2.0,935,Partially Furnished,Taman Desa,3.0,no
2016.0,1500,Service Residence,2.0,2.0,872,Partially Furnished,Sungai Besi,2.0,no
2015.0,1500,Apartment,2.0,2.0,872,Partially Furnished,Sungai Besi,2.0,no
1997.0,2000,Service Residence,1.0,2.0,935,Fully Furnished,Taman Desa,3.0,no
2021.0,1300,Apartment,1.0,2.0,850,Partially Furnished,Bukit Jalil,3.0,no
2022.0,1250,Service Residence,0.0,1.0,300,Fully Furnished,Mont Kiara,1.0,no
2021.0,1300,Condominium,0.0,2.0,800,Not Furnished,Setapak,3.0,
1997.0,1700,Service Residence,1.0,2.0,935,Partially Furnished,Taman Desa,3.0,no
2016.0,1850,Condominium,2.0,2.0,850,Fully Furnished,Setapak,3.0,yes
2021.0,1550,Service Residence,1.0,2.0,916,Partially Furnished,Kepong,3.0,yes
2021.0,1400,Service Residence,1.0,2.0,670,Partially Furnished,Cheras,2.0,yes
2021.0,1600,Service Residence,1.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2015.0,1900,Condominium,2.0,2.0,1300,Fully Furnished,Sentul,3.0,no
1997.0,1500,Condominium,1.0,2.0,918,Fully Furnished,Taman Desa,3.0,
2007.0,1500,Service Residence,0.0,1.0,325,Fully Furnished,Bukit Bintang,1.0,yes
2020.0,1900,Apartment,1.0,2.0,743,Fully Furnished,Sentul,2.0,no
2009.0,1400,Condominium,1.0,2.0,877,Partially Furnished,Sentul,3.0,no
2010.0,1600,Condominium,2.0,3.0,1267,Partially Furnished,Wangsa Maju,3.0,yes
2021.0,1400,Service Residence,1.0,2.0,650,Partially Furnished,Cheras,2.0,yes
2007.0,1800,Condominium,0.0,2.0,1076,Fully Furnished,Setapak,3.0,
2021.0,1300,Condominium,2.0,2.0,943,Partially Furnished,Cheras,3.0,
2022.0,1600,Service Residence,2.0,2.0,1075,Partially Furnished,Taman Desa,3.0,no
2021.0,1500,Condominium,1.0,2.0,1200,Fully Furnished,Kuchai Lama,3.0,yes
2021.0,1600,Service Residence,1.0,2.0,819,Partially Furnished,Cheras,3.0,yes
2009.0,2500,Service Residence,0.0,1.0,722,Fully Furnished,KLCC,1.0,no
2021.0,2700,Service Residence,1.0,2.0,736,Fully Furnished,Cheras,2.0,yes
2020.0,2800,Service Residence,1.0,1.0,807,Fully Furnished,Cheras,2.0,yes
2017.0,2350,Service Residence,1.0,2.0,1168,Partially Furnished,Cheras,2.0,yes
2016.0,2700,Service Residence,2.0,2.0,1096,Fully Furnished,Puchong,3.0,yes
2017.0,1500,Condominium,1.0,2.0,855,Partially Furnished,Sungai Besi,2.0,no
2014.0,1800,Condominium,2.0,3.0,1362,Partially Furnished,Setapak,4.0,
2017.0,1199,Condominium,1.0,2.0,860,Partially Furnished,Sentul,2.0,
2021.0,1450,Condominium,1.0,2.0,850,Partially Furnished,Setapak,3.0,
2014.0,1600,Condominium,2.0,2.0,1313,Partially Furnished,Kuchai Lama,3.0,
2021.0,1100,Condominium,1.0,2.0,800,Partially Furnished,Setapak,3.0,yes
2021.0,1800,Condominium,2.0,2.0,1106,Partially Furnished,Cheras,3.0,yes
2021.0,1500,Condominium,2.0,2.0,943,Partially Furnished,Cheras,3.0,
2018.0,1499,Condominium,1.0,2.0,969,Partially Furnished,Setapak,3.0,
2008.0,2650,Service Residence,1.0,2.0,1047,Fully Furnished,KLCC,2.0,yes
2021.0,2600,Service Residence,1.0,2.0,736,Fully Furnished,Cheras,2.0,yes
1993.0,1700,Condominium,1.0,1.0,678,Partially Furnished,Bangsar,1.0,no
